-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
50/50,7/7,49/49,27/27,37/38,25/28,44/49,35/46,56/73,41/57,61/99,49/85,44/98,28/80,26/92,24/67,20/89,11/41,4/96,5/21,2/98
93/98,0,47/62,0,84/106,0,46/74,0,76/105,0,64/97,0,72/111,0,42/77,0,53/107,0,29/73,0,39/380
185/195,0,30/36,0,59/86,0,36/58,0,40/98,0,62/114,0,65/166,0,64/124,0,44/171,0,30/82,0,30/160
