-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
9/9,11/11,39/39,29/29,84/87,103/109,187/216,221/287,308/466,390/696,543/990,400/815,218/600,105/392,46/261,28/151,14/131,5/69,1/79,2/16,0/33
55/108,0,84/240,0,129/382,0,148/452,0,290/620,0,466/740,0,390/570,0,326/523,0,381/693,0,282/569,0,192/589
466/516,0,437/534,0,416/580,0,295/463,0,254/472,0,350/671,0,260/722,0,147/589,0,73/480,0,37/286,0,8/173
