-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
65/66,36/36,118/119,86/90,170/180,170/194,315/367,334/449,467/711,605/1068,862/1592,707/1363,451/1095,274/782,140/577,99/372,67/344,32/178,13/245,9/65,2/151
283/356,0,227/460,0,353/718,0,337/799,0,599/1138,0,877/1468,0,706/1105,0,491/906,0,514/1062,0,355/795,0,280/1237
717/799,0,535/660,0,551/786,0,430/682,0,435/846,0,720/1374,0,659/1566,0,478/1269,0,281/1048,0,134/562,0,82/452
