-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
4/5,16/16,26/27,25/28,38/41,28/39,52/61,40/51,48/75,80/127,100/179,89/155,63/135,46/114,14/98,8/59,3/54,2/33,1/41,0/19,0/9
98/105,0,51/67,0,70/90,0,59/95,0,97/154,0,127/225,0,83/157,0,38/107,0,28/143,0,15/78,0,17/145
41/58,0,49/66,0,56/87,0,64/97,0,80/151,0,118/217,0,115/237,0,82/178,0,47/140,0,17/81,0,14/54
