-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
2/2,1/1,4/4,5/5,10/13,13/17,29/36,32/56,49/86,78/164,133/267,148/264,113/232,86/179,48/116,36/85,25/63,13/34,7/26,2/7,0/11
34/41,0,34/76,0,65/130,0,68/151,0,116/214,0,195/347,0,144/247,0,78/181,0,50/110,0,26/67,0,24/104
24/29,0,18/23,0,19/30,0,28/52,0,53/106,0,158/309,0,190/380,0,170/345,0,105/235,0,43/101,0,26/58
