-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
14/15,1/1,40/43,3/3,61/66,4/4,77/98,2/3,109/147,6/11,191/355,8/13,87/212,0/3,48/151,1/3,24/124,0/1,7/71,0,0/42
305/443,0,8/11,0,163/251,0,0/1,0,104/186,0,1/2,0,48/140,0,0/1,0,39/166,0,0/2,0,15/163
44/64,0,2/2,0,83/119,0,2/2,0,92/164,0,4/5,0,83/184,0,2/4,0,144/271,0,6/12,0,221/539
