-1.00,-0.90,-0.80,-0.70,-0.60,-0.50,-0.40,-0.30,-0.20,-0.10,0.00,0.10,0.20,0.30,0.40,0.50,0.60,0.70,0.80,0.90,1.00
16/17,0,88/90,3/4,193/211,9/9,349/405,11/13,523/734,19/31,822/1897,17/41,385/931,9/21,192/527,6/10,81/319,0/3,17/169,0,3/54
705/1676,0,11/24,0,483/898,0,4/7,0,480/780,0,12/14,0,506/836,0,5/8,0,360/735,0,6/6,0,171/502
383/429,0,8/11,0,492/642,0,8/10,0,501/746,0,7/12,0,334/646,0,4/13,0,354/854,0,11/31,0,641/2092
